[09:32:38] === CP3A BATCH START === tasks=90 lanes=3 runs_each=3 total=810 already_done=0
[09:32:38] --- LANE LANE-GEMINI-001 (gemini-2.5-flash) ---
[09:39:16]   [95/810] RUN-A4-002-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:17]   [96/810] RUN-A4-002-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:19]   [97/810] RUN-A4-003-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:21]   [98/810] RUN-A4-003-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:23]   [99/810] RUN-A4-003-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:39:25]   [100/810] RUN-A4-004-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:27]   [101/810] RUN-A4-004-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:29]   [102/810] RUN-A4-004-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:31]   [103/810] RUN-A4-005-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:33]   [104/810] RUN-A4-005-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:35]   [105/810] RUN-A4-005-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:37]   [106/810] RUN-A4-006-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:39]   [107/810] RUN-A4-006-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:39:41]   [108/810] RUN-A4-006-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:39:43]   [109/810] RUN-A4-007-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:39:45]   [110/810] RUN-A4-007-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s CAT_MISS=UNSCORED
[09:39:47]   [111/810] RUN-A4-007-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.6s CAT_MISS=UNSCORED
[09:39:49]   [112/810] RUN-A4-008-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:39:51]   [113/810] RUN-A4-008-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:39:53]   [114/810] RUN-A4-008-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:39:55]   [115/810] RUN-A4-009-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:39:57]   [116/810] RUN-A4-009-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:39:59]   [117/810] RUN-A4-009-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:01]   [118/810] RUN-A4-010-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:40:03]   [119/810] RUN-A4-010-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:04]   [120/810] RUN-A4-010-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:40:06]   [121/810] RUN-A5-001-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:08]   [122/810] RUN-A5-001-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:10]   [123/810] RUN-A5-001-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:12]   [124/810] RUN-A5-002-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:40:14]   [125/810] RUN-A5-002-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:16]   [126/810] RUN-A5-002-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:18]   [127/810] RUN-A5-003-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:40:20]   [128/810] RUN-A5-003-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:22]   [129/810] RUN-A5-003-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:24]   [130/810] RUN-A5-004-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:26]   [131/810] RUN-A5-004-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:28]   [132/810] RUN-A5-004-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.6s
[09:40:30]   [133/810] RUN-A5-005-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:32]   [134/810] RUN-A5-005-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:34]   [135/810] RUN-A5-005-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:36]   [136/810] RUN-A5-006-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:38]   [137/810] RUN-A5-006-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:40]   [138/810] RUN-A5-006-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:42]   [139/810] RUN-A5-007-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:40:44]   [140/810] RUN-A5-007-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.6s CAT_MISS=UNSCORED
[09:40:46]   [141/810] RUN-A5-007-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.6s CAT_MISS=UNSCORED
[09:40:48]   [142/810] RUN-A5-008-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:40:50]   [143/810] RUN-A5-008-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:40:52]   [144/810] RUN-A5-008-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s CAT_MISS=UNSCORED
[09:40:54]   [145/810] RUN-A5-009-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:56]   [146/810] RUN-A5-009-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:58]   [147/810] RUN-A5-009-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:40:59]   [148/810] RUN-A5-010-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:01]   [149/810] RUN-A5-010-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:03]   [150/810] RUN-A5-010-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:05]   [151/810] RUN-B-001-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:07]   [152/810] RUN-B-001-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:09]   [153/810] RUN-B-001-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.5s
[09:41:11]   [154/810] RUN-B-002-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:13]   [155/810] RUN-B-002-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:15]   [156/810] RUN-B-002-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:17]   [157/810] RUN-B-003-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:19]   [158/810] RUN-B-003-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:21]   [159/810] RUN-B-003-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:23]   [160/810] RUN-B-004-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:25]   [161/810] RUN-B-004-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:27]   [162/810] RUN-B-004-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:29]   [163/810] RUN-B-005-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:31]   [164/810] RUN-B-005-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:33]   [165/810] RUN-B-005-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:35]   [166/810] RUN-B-006-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:36]   [167/810] RUN-B-006-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:38]   [168/810] RUN-B-006-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:40]   [169/810] RUN-B-007-LANE-GEMINI-001-1 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:42]   [170/810] RUN-B-007-LANE-GEMINI-001-2 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
[09:41:44]   [171/810] RUN-B-007-LANE-GEMINI-001-3 FAIL:HTTP Error 429: Too Many Requests finish=None tokens=None out=0ch t=0.4s
